DATE,nber_recessions,real_personal_income_less_transfers,real_pce,real_gdp,real_gdi,real_avg_gdp_gdi,total_nonfarm_emp,emp_level,industrial_prod_index,real_manuf_trade_sales,log_real_personal_income_less_transfers,log_real_pce,log_real_gdp,log_real_gdi,log_real_avg_gdp_gdi,log_total_nonfarm_emp,log_emp_level,log_industrial_prod_index,log_real_manuf_trade_sales
1977Q4,0,4713.314,4059.918,6313.697,6288.213,6300.955,84128.0,93639.0,48.0,560593.0,0.0941993598718858,0.059694667087160855,8.742992143688315e-05,0.023005456240609477,0.011506856815026851,0.04691729173613831,0.052890347468186154,0.0,0.07163386300104292
1978Q1,0,4748.14,4082.726,6333.848,6325.827,6329.838,85001.0,94553.0,48.0,559313.0,0.02944676983590547,0.02240850480521576,0.012746199868050955,0.023855393822265435,0.01829373680260572,0.04129429031809797,0.03885424190451363,0.0,-0.009143628535772821
1978Q2,0,4825.083,4170.01,6578.605,6516.4,6547.503,86540.0,95835.0,50.0,585165.0,0.06429989721363424,0.08461412529088876,0.1516590657087157,0.11872519662126514,0.1352364487129682,0.0717748546789741,0.05386975551010081,0.1632879780810208,0.18073845539045355
1978Q3,0,4874.203,4187.52,6644.754,6563.753,6604.254,87436.0,96397.0,51.0,586914.0,0.04051466875721445,0.016760957479251132,0.04001981752871965,0.028961867262996936,0.034520925067773475,0.0412014494840684,0.02338847231154371,0.07921050918471892,0.011937770735114123
1978Q4,0,4926.336,4221.31,6734.069,6627.318,6680.694,88339.0,97400.0,52.0,596578.0,0.04255561187182097,0.03214733262669283,0.05340758413088543,0.03855061777201067,0.046031550043934465,0.04109835614467583,0.041404519392749334,0.07767234342840607,0.06532677737384948
1979Q1,0,4985.785,4243.173,6746.176,6679.662,6712.919,89114.0,98252.0,52.0,596830.0,0.04798142624312274,0.020663328044317256,0.00718503454814946,0.03146875998946985,0.01924801750317003,0.03493905101402311,0.03483758451117058,0.0,0.0016892798020155188
1979Q2,0,4949.286,4240.419,6753.389,6646.497,6699.943,89771.0,98371.0,52.0,597564.0,-0.029390158724624926,-0.002597013243202438,0.004274508511297919,-0.019909754023847523,-0.007739439381792263,0.029382137312182924,0.004841753590556972,0.0,0.004916301270100021
1979Q3,0,4961.685,4281.682,6803.558,6654.585,6729.072,90281.0,99041.0,52.0,596623.0,0.010008308141389618,0.03873535172470038,0.029605030699307394,0.004864567256616157,0.017352900825234583,0.02266018101173543,0.027151442567696676,0.0,-0.006303871636596182
1979Q4,0,4979.248,4292.335,6820.572,6680.643,6750.608,90575.0,99637.0,52.0,592513.0,0.014133899321912126,0.009939803461401046,0.009990514679266775,0.015632598507763957,0.012781323190932076,0.01300483297092268,0.023998702938651657,0.0,-0.027650437736742597
1980Q1,0,4966.622,4286.2,6842.024,6674.98,6758.502,90892.0,99862.0,52.0,588215.0,-0.010155778655878344,-0.0057212575768848155,0.012561019957576665,-0.0033921294959486123,0.004674771853066351,0.013975006913641817,0.009022605442605502,0.0,-0.029121145488118543
1980Q2,1,4927.404,4189.671,6701.046,6567.002,6634.024,90457.0,98953.0,50.0,559658.0,-0.03171061438206477,-0.09111339581466879,-0.08327984272397661,-0.0652351850611405,-0.07435883848069978,-0.019189555356412112,-0.03657697191831729,-0.15688285261312507,-0.19906657777311193
1980Q3,1,4927.623,4235.629,6693.082,6616.294,6654.688,90051.0,98899.0,49.0,569883.0,0.00017777729074527803,0.04363852285475506,-0.004756711859716634,0.02991193079571661,0.012440041837292033,-0.01799369267377415,-0.002183450309962981,-0.08081082927007786,0.07242077487914331
1980Q4,0,5025.969,4292.856,6817.903,6770.22,6794.062,90727.0,99499.0,51.0,592047.0,0.07904619797661783,0.05368161769778427,0.0739099636753637,0.09199275297056511,0.08290970676559242,0.02991528397818623,0.024193866034788628,0.16002133845479682,0.1526197880927687
1981Q1,0,5030.575,4307.237,6951.495,6818.901,6885.198,91116.0,100239.0,51.0,593077.0,0.003664082071989992,0.013377542223495438,0.07761919115811325,0.02865892988755136,0.05329957816458051,0.017113690090182623,0.029638962471211623,0.0,0.006952860691952271
1981Q2,0,5054.136,4307.55,6899.98,6821.736,6860.858,91356.0,100801.0,51.0,585204.0,0.01869050515626475,0.00029066301942266457,-0.02975292523876654,0.0016626789736103314,-0.014165532535658654,0.01052216837191503,0.022363766969560356,0.0,-0.05345493761965622
1981Q3,0,5150.799,4327.476,6982.609,6919.623,6951.116,91548.0,100482.0,52.0,581235.0,0.07577972116084879,0.018460660448012783,0.047616464487091684,0.056989213831987844,0.05227886168906905,0.008397851136066873,-0.012678676970333976,0.07767234342840607,-0.027221417102564417
1981Q4,1,5140.625,4297.875,6906.529,6848.681,6877.605,91149.0,100077.0,50.0,564558.0,-0.00790872346869562,-0.027454990491211587,-0.04382173231189792,-0.04122083755260849,-0.042526965399096804,-0.017471579034579594,-0.016154869160859956,-0.15688285261312507,-0.11644810404997913
1982Q1,1,5140.745,4329.533,6799.233,6794.507,6796.87,90521.0,99709.0,49.0,561331.0,9.337277036472787e-05,0.029355878004404912,-0.06262953755763043,-0.031766349462511535,-0.047233075116260514,-0.027654648603053025,-0.014735783936463572,-0.08081082927007786,-0.02292949899415758
